participant	diagnostic	x	y	expected_direction	spearman_rho	spearman_p	n_trials
8	Agent-confidence vs scenario complexity	scenario_complexity_code	ppCo	negative	-0.9299878767921612	4.064245809328569e-53	120
9	Agent-confidence vs scenario complexity	scenario_complexity_code	ppCo	negative	-0.6074605282650096	1.8922149710187494e-13	120
10	Agent-confidence vs scenario complexity	scenario_complexity_code	ppCo	negative	-0.7411664860405062	3.7156079627668843e-22	120
11	Agent-confidence vs scenario complexity	scenario_complexity_code	ppCo	negative	-0.7506926102586076	5.541340081280727e-23	120
12	Agent-confidence vs scenario complexity	scenario_complexity_code	ppCo	negative	-0.8190765733956935	2.974389396424165e-30	120
13	Agent-confidence vs scenario complexity	scenario_complexity_code	ppCo	negative	-0.5666342816160032	1.5203289174466358e-11	120
14	Agent-confidence vs scenario complexity	scenario_complexity_code	ppCo	negative	-0.8947752390573932	3.920410416578864e-43	120
15	Agent-confidence vs scenario complexity	scenario_complexity_code	ppCo	negative	-0.8787849591198655	1.020274571537018e-39	120
16	Agent-confidence vs scenario complexity	scenario_complexity_code	ppCo	negative	-0.8981774262781436	6.244900777499099e-44	120
17	Agent-confidence vs scenario complexity	scenario_complexity_code	ppCo	negative	-0.8420413371357597	2.0183618605096904e-33	120
18	Agent-confidence vs scenario complexity	scenario_complexity_code	ppCo	negative	-0.8772539748705279	2.04255729016812e-39	120
19	Agent-confidence vs scenario complexity	scenario_complexity_code	ppCo	negative	-0.8806561620912783	4.312071979521752e-40	120
20	Agent-confidence vs scenario complexity	scenario_complexity_code	ppCo	negative	-0.8541191017694242	2.680748341924563e-35	120
21	Agent-confidence vs scenario complexity	scenario_complexity_code	ppCo	negative	-0.8646658821537508	4.420875863280996e-37	120
22	Agent-confidence vs scenario complexity	scenario_complexity_code	ppCo	negative	-0.8748724438160026	5.904572150496288e-39	120
23	Agent-confidence vs scenario complexity	scenario_complexity_code	ppCo	negative	-0.8755528812601525	4.369551245624034e-39	120
24	Agent-confidence vs scenario complexity	scenario_complexity_code	ppCo	negative	-0.8791251778419407	8.733190458490604e-40	120
25	Agent-confidence vs scenario complexity	scenario_complexity_code	ppCo	negative	-0.8342163065280335	2.746515596504319e-32	120
26	Agent-confidence vs scenario complexity	scenario_complexity_code	ppCo	negative	-0.84340221202406	1.2633549797514415e-33	120
27	Agent-confidence vs scenario complexity	scenario_complexity_code	ppCo	negative	-0.8417011184136847	2.2676026758263016e-33	120
