ability	source_sheet	trial	subject	value
Low ability	ppk_1	12	2	0.5279333281333334
Low ability	ppk_1	12	3	0.6379723742222222
Low ability	ppk_1	12	4	0.632360450288889
Low ability	ppk_1	12	5	0.6025072607333333
Low ability	ppk_1	12	6	0.5683400765111112
Low ability	ppk_1	12	7	0.4669586143333333
Low ability	ppk_1	12	8	0.5554367766666667
Low ability	ppk_1	12	9	0.7767395380666667
Low ability	ppk_1	12	10	0.5541661189111111
Low ability	ppk_1	12	11	0.7590229326666668
Low ability	ppk_1	12	12	0.5590361249777778
Low ability	ppk_1	12	13	0.7856777275111112
Low ability	ppk_1	12	14	0.5940196457333333
Low ability	ppk_1	12	15	0.4928324892666667
Low ability	ppk_1	12	16	0.8866735113333334
Low ability	ppk_1	12	17	0.7392311332444444
Low ability	ppk_1	12	18	0.7887113058888889
Low ability	ppk_1	12	19	0.6361906843777777
Low ability	ppk_1	12	20	0.7198365177777778
Low ability	ppk_1	12	21	0.7056642518888889
Low ability	ppk_1	12	22	0.7266174274666667
Low ability	ppk_1	12	23	0.5365831322444444
Low ability	ppk_1	12	24	0.7889058403555556
Low ability	ppk_1	12	25	0.6753199502444445
Low ability	ppk_1	12	26	0.7382994933777778
Low ability	ppk_1	12	27	0.8161104590222221
Low ability	ppk_1	13	1	0.6968949485777779
Low ability	ppk_1	13	2	0.6904894966666667
Low ability	ppk_1	13	3	0.49759333944444445
Low ability	ppk_1	13	4	0.6951353529555555
Low ability	ppk_1	13	5	0.6613201765555555
Low ability	ppk_1	13	6	0.6949425276
Low ability	ppk_1	13	7	0.44072281722222223
Low ability	ppk_1	13	8	0.7100675788222223
Low ability	ppk_1	13	9	0.5863984561555555
Low ability	ppk_1	13	10	0.7267118806666667
Low ability	ppk_1	13	11	0.6084766187111111
Low ability	ppk_1	13	12	0.5073515014222222
Low ability	ppk_1	13	13	0.7981616856444446
Low ability	ppk_1	13	14	0.5437562330666666
Low ability	ppk_1	13	15	0.6735763419555555
Low ability	ppk_1	13	16	0.7990792976000001
Low ability	ppk_1	13	17	0.7362983385777778
Low ability	ppk_1	13	18	0.7421615107333334
Low ability	ppk_1	13	19	0.6764324797555554
Low ability	ppk_1	13	20	0.7268348146666667
Low ability	ppk_1	13	21	0.5027174105111112
Low ability	ppk_1	13	22	0.7465373274666667
Low ability	ppk_1	13	23	0.4972740944666667
Low ability	ppk_1	13	24	0.6400523224888889
Low ability	ppk_1	13	25	0.7233721018
Low ability	ppk_1	13	26	0.5675994199333333
Low ability	ppk_1	13	27	0.7721965283555555
Low ability	ppk_1	14	1	0.7417230977333333
Low ability	ppk_1	14	2	0.9154261324444444
Low ability	ppk_1	14	3	0.4717056646888889
Low ability	ppk_1	14	4	0.7339322409111112
Low ability	ppk_1	14	5	0.609447836511111
Low ability	ppk_1	14	6	0.8851683475555555
Low ability	ppk_1	14	7	0.42777938935555554
Low ability	ppk_1	14	8	0.9226427316666669
Low ability	ppk_1	14	9	0.5209107481555556
Low ability	ppk_1	14	10	0.8399764273777778
Low ability	ppk_1	14	11	0.5611341058222222
Low ability	ppk_1	14	12	0.6721601909111111
Low ability	ppk_1	14	13	0.6234204705333334
Low ability	ppk_1	14	14	0.7116256694666667
Low ability	ppk_1	14	15	0.7408542916666666
Low ability	ppk_1	14	16	0.6289574530666667
Low ability	ppk_1	14	17	0.5901207115777779
Low ability	ppk_1	14	18	0.6023349045555556
Low ability	ppk_1	14	19	0.7330324465999999
Low ability	ppk_1	14	20	0.5722416629999999
Low ability	ppk_1	14	21	0.6918811324000002
Low ability	ppk_1	14	22	0.5901035668222222
Low ability	ppk_1	14	23	0.5312233639333334
Low ability	ppk_1	14	24	0.599350699111111
Low ability	ppk_1	14	25	0.5812672592222222
Low ability	ppk_1	14	26	0.7210329096666667
Low ability	ppk_1	14	27	0.5997844424666666
Low ability	ppk_1	15	1	0.6458612325777778
Low ability	ppk_1	15	2	0.8087228212444444
Low ability	ppk_1	15	3	0.45766551913333336
Low ability	ppk_1	15	4	0.7362800186888889
Low ability	ppk_1	15	5	0.5394768054
Low ability	ppk_1	15	6	0.7844244449333333
Low ability	ppk_1	15	7	0.5659446783777778
Low ability	ppk_1	15	8	0.752157660488889
Low ability	ppk_1	15	9	0.6905478403111113
Low ability	ppk_1	15	10	0.8709384588
Low ability	ppk_1	15	11	0.7069286831555556
Low ability	ppk_1	15	12	0.6974031136666667
Low ability	ppk_1	15	13	0.5649054378666666
Low ability	ppk_1	15	14	0.9264113773333333
Low ability	ppk_1	15	15	0.7313615580888889
Low ability	ppk_1	15	16	0.5413038123999999
Low ability	ppk_1	15	17	0.6998174407777777
Low ability	ppk_1	15	18	0.5456319312888889
Low ability	ppk_1	15	19	0.7539841114888889
Low ability	ppk_1	15	20	0.6980042007777779
Low ability	ppk_1	15	21	0.7527992279555556
Low ability	ppk_1	15	22	0.7149544733777778
Low ability	ppk_1	15	23	0.6816156600888889
Low ability	ppk_1	15	24	0.5653106919999998
Low ability	ppk_1	15	25	0.6879728814222221
Low ability	ppk_1	15	26	0.7773438181111111
Low ability	ppk_1	15	27	0.6831313941111111
